date,country,net_injection,hdd,wind_weighted,day_sin,day_cos,day_of_week,is_weekend,stock_twh_lag_1,stock_fill_rate,hdd_wind,cold_weekend,net_injection_lag_1,net_injection_lag_7,hdd_roll_mean_7,wind_roll_mean_7
2016-01-09,BE,-0.001100000000000101,10.358358645439148,44.3326530456543,0.1542040475626894,0.988039023376751,5,1,4.9126,4.9126,459.2135199507074,10.358358645439148,-0.007600000000000051,-0.012500000000000178,10.824028076444353,45.083203724452424
2016-01-10,BE,-0.0018000000000002458,10.357316374778748,50.28157424926758,0.17117705961019986,0.985240282501282,6,1,4.9115,4.9115,520.7821723215925,10.357316374778748,-0.001100000000000101,0.038000000000000256,10.88173635687147,44.74416542053223
2016-01-11,BE,-0.011400000000000077,11.54940016269684,39.26641082763672,0.18809941761179758,0.9821499931752291,0,0,4.9097,4.9097,453.50349160122846,0.0,-0.0018000000000002458,-0.058099999999999596,11.044786964144025,44.92556244986398
2016-01-12,BE,-0.02059999999999995,11.693149852752686,56.414424896240234,0.20496611396949532,0.9787690698649216,1,0,4.8983,4.8983,659.662324168599,0.0,-0.011400000000000077,-0.03570000000000029,11.13523337159838,47.88918331691197
2016-01-13,BE,-0.05349999999999966,12.86502492427826,54.536136627197266,0.22177215755648186,0.975098513039961,2,0,4.8777,4.8777,701.6087569827373,0.0,-0.02059999999999995,-0.019400000000000084,11.448135127340047,51.68680463518415
2016-01-14,BE,-0.08000000000000007,13.854920971393586,69.39787292480469,0.23851257519407648,0.9711394088771653,3,0,4.8242,4.8242,961.5020449559836,0.0,-0.05349999999999966,-0.007399999999999629,11.860248243808746,52.307001386369976
2016-01-15,BE,-0.10409999999999986,14.58440022468567,67.66947174072266,0.2551824131233728,0.9668929289391521,4,0,4.7442,4.7442,986.9186588597561,0.0,-0.08000000000000007,-0.007600000000000051,12.180367308003563,54.55693490164621
2016-01-16,BE,-0.033800000000000274,14.59408746957779,45.67462158203125,0.2717767384711357,0.9623603298276545,5,1,4.6401,4.6401,666.5794225080296,14.59408746957779,-0.10409999999999986,-0.001100000000000101,12.785471425737654,54.7486446925572
2016-01-17,BE,-0.06569999999999965,18.007004152983427,37.540252685546875,0.2882906407095177,0.9575429528116719,6,1,4.6063,4.6063,675.9874860126898,18.007004152983427,-0.033800000000000274,-0.0018000000000002458,13.87828396548118,52.92845589773996
2016-01-18,BE,-0.09240000000000048,20.737525022029878,33.35395431518555,0.3047192331091634,0.9524422234305676,0,0,4.5406,4.5406,691.6784621948017,0.0,-0.06569999999999965,-0.011400000000000077,15.190873231100186,52.083819253104075
2016-01-19,BE,-0.10069999999999979,21.122108256816865,15.459053993225098,0.321057654185271,0.9470596510722283,1,0,4.4482,4.4482,326.52781199287756,0.0,-0.09240000000000048,-0.02059999999999995,16.537867288823637,46.23305198124477
2016-01-20,BE,-0.09450000000000003,17.389295841008426,16.279802322387695,0.3373010691361842,0.9413968285264122,2,0,4.3475,4.3475,283.09429881713567,0.0,-0.10069999999999979,-0.05349999999999966,17.184191705499376,40.76786136627197
2016-01-21,BE,-0.09280000000000044,17.013254150841384,32.902103424072266,0.3534446712740877,0.9354554315134164,3,0,4.253,4.253,559.7718476510099,0.0,-0.09450000000000003,-0.08000000000000007,17.635382159706204,35.554180009024485
2016-01-22,BE,-0.07899999999999974,15.07502502799034,42.35166931152344,0.3694836834473831,0.9292372181882051,4,0,4.1602,4.1602,638.4524748483863,0.0,-0.09280000000000044,-0.10409999999999986,17.70547141732116,31.937351090567454
2016-01-23,BE,-0.06329999999999991,10.558462452888488,34.96636199951172,0.38541335945432564,0.9227440286201427,5,1,4.0812,4.0812,369.1910202859513,10.558462452888488,-0.07899999999999974,-0.033800000000000274,17.128953557794116,30.407599721636092
2016-01-24,BE,-0.026200000000000223,9.454920840263366,37.03803253173828,0.4012289854475009,0.9159777842484877,6,1,4.0179,4.0179,350.1916656666848,9.454920840263366,-0.06329999999999991,-0.06569999999999965,15.907227370262678,30.33585398537772
2016-01-25,BE,-0.028099999999999792,6.86012897491455,43.83286666870117,0.4169258813287287,0.908940487313808,0,0,3.9917,3.9917,300.69911868752314,0.0,-0.026200000000000223,-0.09240000000000048,13.924742220674773,31.83284146445138
2016-01-26,BE,-0.03569999999999984,7.784920263290406,56.65855407714844,0.4324994021339788,0.901634220265486,1,0,3.9636,3.9636,441.08232572392814,0.0,-0.028099999999999792,-0.10069999999999979,12.019429650170995,37.718484333583284
2016-01-27,BE,-0.041100000000000136,6.715649890899657,54.6275520324707,0.44794493940789115,0.8940611451454876,2,0,3.9279,3.9279,366.8595138469772,0.0,-0.03569999999999984,-0.09450000000000003,10.494623085869742,43.196734292166575
2016-01-28,BE,-0.0613999999999999,10.731483745574952,44.90629959106445,0.4632579225674917,0.88622350294858,3,0,3.8868,3.8868,481.9112241354273,0.0,-0.041100000000000136,-0.09280000000000044,9.597227313688823,44.91161945887974
2016-01-29,BE,-0.05390000000000006,9.83773293495178,55.21982192993164,0.4784338202547012,0.8781236129591848,4,0,3.8254,3.8254,543.2378608622611,0.0,-0.0613999999999999,-0.07899999999999974,8.849042728969028,46.7499269757952
2016-01-30,BE,-0.04360000000000008,10.11346275806427,59.40436553955078,0.49346814167723735,0.8697638720650646,5,1,3.7715,3.7715,600.7838385506833,10.11346275806427,-0.05390000000000006,-0.06329999999999991,8.785471343994141,50.24107033865793
2016-01-31,BE,-0.04939999999999989,10.261170887947083,48.075836181640625,0.5083564379375122,0.8611467540480452,6,1,3.7279,3.7279,493.31437064076385,10.261170887947083,-0.04360000000000008,-0.026200000000000223,8.900649922234672,51.81789943150112
2016-02-01,BE,-0.051200000000000134,6.014504432678223,55.0811767578125,0.5230943033491326,0.8522748088519838,0,0,3.6785,3.6785,331.285981766996,0.0,-0.04939999999999989,-0.028099999999999792,8.77984641620091,53.424800872802734
2016-02-02,BE,-0.0242,8.344607973098755,50.71402359008789,0.5376773767406141,0.8431506618282,1,0,3.6273,3.6273,423.1886455977658,0.0,-0.051200000000000134,-0.03569999999999984,8.859801803316389,52.57558223179409
2016-02-03,BE,-0.07450000000000001,12.482316613197327,43.7085075378418,0.5521013427459208,0.8337770129585915,2,0,3.6031,3.6031,545.5834297776632,0.0,-0.0242,-0.041100000000000136,9.683611335073198,51.01571873256138
2016-02-04,BE,-0.055600000000000094,11.45867075920105,51.12126541137695,0.5663619330814524,0.8241566360566663,3,0,3.5286,3.5286,585.7817491427012,0.0,-0.07450000000000001,-0.0613999999999999,9.787495194162641,51.90357099260603
2016-02-05,BE,-0.03459999999999974,8.652629303932189,38.26852035522461,0.580454927809098,0.8142923779467267,4,0,3.473,3.473,331.1233206437419,0.0,-0.055600000000000094,-0.05390000000000006,9.618194675445556,49.481956481933594
2016-02-06,BE,-0.022299999999999986,7.26158742904663,48.43304443359375,0.5943761565849831,0.804187157621448,5,1,3.4384,3.4384,351.7007866094412,7.26158742904663,-0.03459999999999974,-0.04360000000000008,9.210783914157322,47.914624895368306
2016-02-07,BE,-0.0687000000000002,8.62533702850342,54.9398193359375,0.6081214998935418,0.7938439653781019,6,1,3.4161,3.4161,473.8744580575499,8.62533702850342,-0.022299999999999986,-0.04939999999999989,8.977093362808228,48.895193917410715
2016-02-08,BE,-0.06349999999999989,8.921795439720155,72.0899429321289,0.6216868902665479,0.7832658619336791,0,0,3.3474,3.3474,643.1717241015539,0.0,-0.0687000000000002,-0.051200000000000134,9.392420649528503,51.325017656598774
2016-02-09,BE,-0.05730000000000013,11.909712886810304,55.70585632324219,0.6350683134867438,0.7724559775191742,1,0,3.2839,3.2839,663.4407549237208,0.0,-0.06349999999999989,-0.0242,9.901721351487296,52.03813661847796
2016-02-10,BE,-0.059800000000000075,12.788462352752685,45.160987854003906,0.6482618097757122,0.7614175109532997,2,0,3.2266,3.2266,577.5395929840503,0.0,-0.05730000000000013,-0.07450000000000001,9.945456457138063,52.24563380650112
2016-02-11,BE,-0.08189999999999964,13.522525012493134,28.712116241455078,0.6612634749656386,0.7501537286959042,3,0,3.1668,3.1668,388.26031003668663,0.0,-0.059800000000000075,-0.055600000000000094,10.240292779036931,49.04432678222656
2016-02-12,BE,-0.07360000000000033,14.16523334980011,29.697269439697266,0.6740694616546161,0.7386679638813748,4,0,3.0849,3.0849,420.6687514651993,0.0,-0.08189999999999964,-0.03459999999999974,11.027807642732347,47.819862365722656
